hu4_zoneid	hu4_canopy2001_min	hu4_canopy2001_max	hu4_canopy2001_mean	hu4_canopy2001_std	hu4_damdensity_pointcount	hu4_damdensity_pointsperha	hu4_damdensity_pointspersqkm	hu4_nlcd1992_ha_0	hu4_nlcd1992_pct_0	hu4_nlcd1992_ha_11	hu4_nlcd1992_pct_11	hu4_nlcd1992_ha_21	hu4_nlcd1992_pct_21	hu4_nlcd1992_ha_22	hu4_nlcd1992_pct_22	hu4_nlcd1992_ha_23	hu4_nlcd1992_pct_23	hu4_nlcd1992_ha_31	hu4_nlcd1992_pct_31	hu4_nlcd1992_ha_32	hu4_nlcd1992_pct_32	hu4_nlcd1992_ha_33	hu4_nlcd1992_pct_33	hu4_nlcd1992_ha_41	hu4_nlcd1992_pct_41	hu4_nlcd1992_ha_42	hu4_nlcd1992_pct_42	hu4_nlcd1992_ha_43	hu4_nlcd1992_pct_43	hu4_nlcd1992_ha_51	hu4_nlcd1992_pct_51	hu4_nlcd1992_ha_61	hu4_nlcd1992_pct_61	hu4_nlcd1992_ha_71	hu4_nlcd1992_pct_71	hu4_nlcd1992_ha_81	hu4_nlcd1992_pct_81	hu4_nlcd1992_ha_82	hu4_nlcd1992_pct_82	hu4_nlcd1992_ha_83	hu4_nlcd1992_pct_83	hu4_nlcd1992_ha_85	hu4_nlcd1992_pct_85	hu4_nlcd1992_ha_91	hu4_nlcd1992_pct_91	hu4_nlcd1992_ha_92	hu4_nlcd1992_pct_92	hu4_nlcd2001_ha_0	hu4_nlcd2001_pct_0	hu4_nlcd2001_ha_11	hu4_nlcd2001_pct_11	hu4_nlcd2001_ha_21	hu4_nlcd2001_pct_21	hu4_nlcd2001_ha_22	hu4_nlcd2001_pct_22	hu4_nlcd2001_ha_23	hu4_nlcd2001_pct_23	hu4_nlcd2001_ha_24	hu4_nlcd2001_pct_24	hu4_nlcd2001_ha_31	hu4_nlcd2001_pct_31	hu4_nlcd2001_ha_41	hu4_nlcd2001_pct_41	hu4_nlcd2001_ha_42	hu4_nlcd2001_pct_42	hu4_nlcd2001_ha_43	hu4_nlcd2001_pct_43	hu4_nlcd2001_ha_52	hu4_nlcd2001_pct_52	hu4_nlcd2001_ha_71	hu4_nlcd2001_pct_71	hu4_nlcd2001_ha_81	hu4_nlcd2001_pct_81	hu4_nlcd2001_ha_82	hu4_nlcd2001_pct_82	hu4_nlcd2001_ha_90	hu4_nlcd2001_pct_90	hu4_nlcd2001_ha_95	hu4_nlcd2001_pct_95	hu4_nlcd2006_ha_0	hu4_nlcd2006_pct_0	hu4_nlcd2006_ha_11	hu4_nlcd2006_pct_11	hu4_nlcd2006_ha_21	hu4_nlcd2006_pct_21	hu4_nlcd2006_ha_22	hu4_nlcd2006_pct_22	hu4_nlcd2006_ha_23	hu4_nlcd2006_pct_23	hu4_nlcd2006_ha_24	hu4_nlcd2006_pct_24	hu4_nlcd2006_ha_31	hu4_nlcd2006_pct_31	hu4_nlcd2006_ha_41	hu4_nlcd2006_pct_41	hu4_nlcd2006_ha_42	hu4_nlcd2006_pct_42	hu4_nlcd2006_ha_43	hu4_nlcd2006_pct_43	hu4_nlcd2006_ha_52	hu4_nlcd2006_pct_52	hu4_nlcd2006_ha_71	hu4_nlcd2006_pct_71	hu4_nlcd2006_ha_81	hu4_nlcd2006_pct_81	hu4_nlcd2006_ha_82	hu4_nlcd2006_pct_82	hu4_nlcd2006_ha_90	hu4_nlcd2006_pct_90	hu4_nlcd2006_ha_95	hu4_nlcd2006_pct_95	hu4_nlcd2011_ha_0	hu4_nlcd2011_pct_0	hu4_nlcd2011_ha_11	hu4_nlcd2011_pct_11	hu4_nlcd2011_ha_21	hu4_nlcd2011_pct_21	hu4_nlcd2011_ha_22	hu4_nlcd2011_pct_22	hu4_nlcd2011_ha_23	hu4_nlcd2011_pct_23	hu4_nlcd2011_ha_24	hu4_nlcd2011_pct_24	hu4_nlcd2011_ha_31	hu4_nlcd2011_pct_31	hu4_nlcd2011_ha_41	hu4_nlcd2011_pct_41	hu4_nlcd2011_ha_42	hu4_nlcd2011_pct_42	hu4_nlcd2011_ha_43	hu4_nlcd2011_pct_43	hu4_nlcd2011_ha_52	hu4_nlcd2011_pct_52	hu4_nlcd2011_ha_71	hu4_nlcd2011_pct_71	hu4_nlcd2011_ha_81	hu4_nlcd2011_pct_81	hu4_nlcd2011_ha_82	hu4_nlcd2011_pct_82	hu4_nlcd2011_ha_90	hu4_nlcd2011_pct_90	hu4_nlcd2011_ha_95	hu4_nlcd2011_pct_95	hu4_roaddensity_sum_lengthm	hu4_roaddensity_density_mperha	hu4_slope_min	hu4_slope_max	hu4_slope_mean	hu4_slope_std	hu4_tri_min	hu4_tri_max	hu4_tri_mean	hu4_tri_std
HU4_1	0	100	67.2567	32.4657	38	0.0305	0.0020	0.3600	0.0399	53639.1000	2.8376	5464.7100	0.2891	242.4600	0.0128	5007.1500	0.2649	677.2500	0.0358	199.9800	0.0106	63079.8300	3.3371	454463.3700	24.0422	489300.6600	25.8852	632141.3700	33.4418	8886.9600	0.4701	36.7200	0.0019	0.0000	0.0000	6224.7600	0.3293	112507.8300	5.9519	92.3400	0.0049	3085.9200	0.1633	45940.7700	2.4304	9279.8100	0.4909	103.5000	0.0055	44862.2100	2.3733	15030.6300	0.7952	8141.1300	0.4307	2456.0100	0.1299	925.3800	0.0490	8932.8600	0.4726	306809.9100	16.2310	395863.0200	20.9421	620025.2100	32.8009	198039.9600	10.4768	14433.1200	0.7635	18761.2200	0.9925	91515.6000	4.8414	153111.5100	8.1000	11260.0800	0.5957	103.5000	0.0055	45100.6200	2.3859	15101.5500	0.7989	8196.1200	0.4336	2478.6000	0.1311	931.1400	0.0493	10653.0300	0.5636	301248.9000	15.9368	388117.4400	20.5324	603129.1500	31.9070	209199.5100	11.0672	33629.7600	1.7791	18582.6600	0.9831	89419.1400	4.7305	153151.9200	8.1021	11228.3100	0.5940	103.5000	0.0055	45875.9700	2.4270	14995.2600	0.7933	8177.4900	0.4326	2656.2600	0.1405	991.5300	0.0525	10731.6900	0.5677	290663.7300	15.3768	422957.7900	22.3755	582112.0800	30.7952	168796.3500	8.9297	25049.6100	1.3252	18493.6500	0.9784	91517.5800	4.8415	196691.0400	10.4054	10457.8200	0.5532	14315875.5668	7.5734	0.0000	75.9861	3.7375	3.6620	0.0000	30.8159	0.5087	0.5085
HU4_10	0	100	47.3433	42.0625	672	0.0006	0.0584	0.0000	0.0000	83998.4400	7.3056	193710.6000	16.8476	19869.9300	1.7281	45810.0900	3.9842	11942.0100	1.0386	4021.9200	0.3498	1651.2300	0.1436	327442.0500	28.4786	43719.6600	3.8024	222251.1300	19.3298	1107.5400	0.0963	553.7700	0.0482	0.0000	0.0000	18234.9000	1.5859	14036.4000	1.2208	0.0000	0.0000	54942.4800	4.7785	66390.8400	5.7742	40099.4100	3.4876	0.0000	0.0000	77858.6400	6.7716	99304.2900	8.6368	124716.8700	10.8470	115058.9700	10.0070	35625.3300	3.0984	15733.5300	1.3684	303240.5100	26.3737	99751.4100	8.6757	37070.4600	3.2241	13880.0700	1.2072	13003.0200	1.1309	42980.5800	3.7382	15525.2700	1.3503	122113.2600	10.6206	33920.1900	2.9501	0.0000	0.0000	77711.7600	6.7588	106338.7800	9.2486	132302.8800	11.5068	118414.8900	10.2989	36452.1600	3.1704	14284.7100	1.2424	296172.2700	25.7590	97031.3400	8.4391	35958.2400	3.1274	13470.4800	1.1716	12757.7700	1.1096	40536.7200	3.5256	14692.2300	1.2778	120182.8500	10.4527	33475.3200	2.9114	0.0000	0.0000	78859.9800	6.8587	102765.5100	8.9378	126193.3200	10.9754	124969.5000	10.8690	38823.4800	3.3766	17702.1000	1.5396	278461.0800	24.2186	89792.6400	7.8095	37747.8000	3.2830	15234.2100	1.3250	18324.9900	1.5938	35764.0200	3.1105	14949.5400	1.3002	133418.0700	11.6038	36776.1600	3.1985	64492407.1044	56.0911	0.0000	67.4775	3.1494	3.4332	0.0000	19.8613	0.4542	0.4830
HU4_11	0	100	65.4526	40.1131	604	0.0005	0.0513	0.0000	0.0000	32943.4200	2.7982	114402.9600	9.7174	13922.7300	1.1826	34899.9300	2.9644	2830.6800	0.2404	1249.4700	0.1061	2893.9500	0.2458	509736.0600	43.2972	43692.7500	3.7113	183278.6100	15.5677	453.6000	0.0385	954.8100	0.0811	0.0000	0.0000	62431.2900	5.3029	52712.5500	4.4774	0.0000	0.0000	37841.2200	3.2142	64497.3300	5.4784	18555.2100	1.5761	0.0000	0.0000	27994.0500	2.3778	111981.3300	9.5117	69821.0100	5.9306	42169.5000	3.5819	10554.9300	0.8965	2511.6300	0.2133	604015.2000	51.3053	50109.2100	4.2563	56053.2600	4.7612	15958.0800	1.3555	3297.2400	0.2801	88891.5600	7.5505	10075.0500	0.8558	75885.0300	6.4457	7979.4900	0.6778	0.0000	0.0000	27695.7000	2.3525	113794.3800	9.6657	71938.4400	6.1105	43023.2400	3.6544	10838.4300	0.9206	2744.3700	0.2331	600726.5100	51.0259	49716.5400	4.2229	55737.9900	4.7344	15669.9000	1.3310	3466.6200	0.2945	88355.4300	7.5049	9945.6300	0.8448	75488.4900	6.4120	8154.9000	0.6927	0.0000	0.0000	30320.6400	2.5754	114459.7500	9.7222	69883.5600	5.9359	47294.1900	4.0172	12167.3700	1.0335	3486.6900	0.2962	575377.5600	48.8728	44664.5700	3.7938	55528.4700	4.7166	14709.7800	1.2495	6126.1200	0.5204	82535.9400	7.0106	9622.2600	0.8173	98567.3700	8.3723	12552.3000	1.0662	47239372.7213	40.1253	0.0000	72.7412	5.8356	5.3074	0.0000	28.4872	0.8125	0.7584
HU4_12	0	100	66.5410	42.2442	486	0.0001	0.0148	0.0000	0.0000	86264.5500	2.6296	97218.9900	2.9636	29248.3800	0.8916	40268.7000	1.2275	275.5800	0.0084	3084.6600	0.0940	910.8000	0.0278	1372423.4100	41.8360	353620.6200	10.7795	614860.9200	18.7430	154.6200	0.0047	127.1700	0.0039	0.0000	0.0000	448058.5200	13.6583	130459.5000	3.9768	0.0000	0.0000	22264.8300	0.6787	72408.2400	2.2072	8836.5600	0.2694	0.0000	0.0000	85826.1600	2.6163	158503.5000	4.8317	64912.6800	1.9788	27746.4600	0.8458	9254.7900	0.2821	5126.6700	0.1563	1291950.9900	39.3829	345591.9900	10.5348	332578.8000	10.1381	76234.3200	2.3239	20589.1200	0.6276	366359.6700	11.1678	174995.1900	5.3344	304871.6700	9.2935	15944.0400	0.4860	0.0000	0.0000	85595.0400	2.6092	160695.9900	4.8985	68071.4100	2.0750	29163.7800	0.8890	9633.7800	0.2937	5084.5500	0.1550	1289466.1800	39.3072	344804.3100	10.5108	331749.8100	10.1128	75411.9000	2.2988	20829.2400	0.6349	365404.6800	11.1387	173820.3300	5.2986	304117.3800	9.2705	16637.6700	0.5072	0.0000	0.0000	85752.3600	2.6140	163586.9700	4.9867	70112.3400	2.1373	36043.2000	1.0987	11234.3400	0.3425	6208.6500	0.1893	1338391.1700	40.7986	391103.3700	11.9221	339110.3700	10.3372	71397.6300	2.1764	19628.1900	0.5983	355497.0300	10.8367	168894.7200	5.1485	200089.2600	6.0994	23436.4500	0.7144	71950685.0488	21.9330	0.0000	87.5634	7.2323	6.8308	0.0000	335.4517	1.0084	0.9914
HU4_13	0	100	35.2240	41.0790	423	0.0003	0.0269	0.0000	0.0000	351829.2600	22.3858	337880.5200	21.4983	112163.4000	7.1366	67200.7500	4.2758	6031.2600	0.3838	2185.2900	0.1390	6.3900	0.0004	209144.1600	13.3072	47605.2300	3.0290	223193.7000	14.2011	0.8100	0.0003	1.0800	0.0001	0.0000	0.0000	97273.4400	6.1892	26484.8400	1.6851	0.0000	0.0000	31505.7600	2.0046	41790.1500	2.6590	17364.6000	1.1049	4.3200	0.0003	341425.1700	21.7238	240084.0000	15.2758	172633.5900	10.9841	138564.7200	8.8165	73311.9300	4.6646	11524.9500	0.7333	341835.3000	21.7499	28903.5000	1.8390	15308.6400	0.9740	18217.3500	1.1591	5485.8600	0.3490	46019.4300	2.9281	46905.4800	2.9845	66170.4300	4.2102	25265.9700	1.6076	4.3200	0.0003	340837.8300	21.6865	244669.9500	15.5676	176957.4600	11.2593	140944.9500	8.9679	74179.8900	4.7198	12461.4000	0.7929	337959.9900	21.5034	28055.7000	1.7851	14883.6600	0.9470	17661.1500	1.1237	5729.4900	0.3645	44863.6500	2.8545	44280.1800	2.8174	63249.3900	4.0244	24921.6300	1.5857	4.3200	0.0003	341979.4800	21.7591	254122.1100	16.1690	173034.1800	11.0096	149260.9500	9.4970	75873.3300	4.8276	12703.9500	0.8083	307256.6700	19.5498	27104.8500	1.7246	14328.8100	0.9117	15487.0200	0.9854	6581.7900	0.4188	39657.6000	2.5233	41232.9600	2.6235	86338.6200	5.4935	26694.0000	1.6985	92244588.4911	58.6925	0.0000	77.0618	3.5947	4.6734	0.0000	34.5339	0.5013	0.6660
HU4_16	0	100	46.5444	42.6365	934	0.0002	0.0240	0.0000	0.0000	302645.2500	7.7817	245153.5200	6.3034	51834.2400	1.3328	74469.9600	1.9148	2212.7400	0.0569	21609.2700	0.5556	9815.0400	0.2524	1304077.9500	33.5307	214169.1300	5.5068	618018.6600	15.8906	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	595207.6200	15.3041	191529.1800	4.9246	0.0000	0.0000	26397.0000	0.6787	144169.3800	3.7069	87894.2700	2.2600	1.6200	0.0008	289604.4300	7.4464	373239.1800	9.5968	206341.5600	5.3055	100526.5800	2.5848	43318.7100	1.1138	17457.3900	0.4489	1389058.7400	35.7158	164663.1000	4.2339	196903.9800	5.0628	79153.7400	2.0352	12864.5100	0.3308	318650.6700	8.1932	329057.5500	8.4608	272491.7400	7.0064	95869.7100	2.4650	1.6200	0.0008	288599.0400	7.4205	379198.8000	9.7500	213735.9600	5.4956	105348.5100	2.7087	44980.3800	1.1565	19067.7600	0.4903	1384191.7200	35.5906	165908.9700	4.2659	196048.9800	5.0409	75429.7200	1.9395	13469.4900	0.3463	316062.3600	8.1267	322331.9400	8.2879	268850.9700	6.9128	95976.9900	2.4678	1.6200	0.0008	290210.4900	7.4620	404326.8000	10.3961	214174.8000	5.5069	115998.8400	2.9826	48272.4000	1.2412	19964.7000	0.5133	1339315.3800	34.4368	147879.6300	3.8023	183087.8100	4.7076	75813.8400	1.9493	18520.4700	0.4762	298358.4600	7.6715	310992.7500	7.9963	322666.9200	8.2965	99618.3000	2.5614	148494723.0660	38.1812	0.0000	75.3758	4.8787	5.6999	0.0000	78.7061	0.6863	0.8115
HU4_17	0	100	40.2393	42.7099	126	0.0001	0.0072	0.0000	0.0000	87990.4800	5.0105	45116.7300	2.5691	10593.9900	0.6033	13791.8700	0.7854	112.7700	0.0064	1646.0100	0.0937	72.0900	0.0041	600477.5700	34.1936	23331.6000	1.3286	193760.2800	11.0335	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	535714.8300	30.5057	164783.7900	9.3834	0.0000	0.0000	18721.0800	1.0661	55722.6000	3.1731	4275.4500	0.2435	0.0000	0.0000	92314.1700	5.2567	86823.0900	4.9441	38298.9600	2.1809	13494.2400	0.7684	4967.1000	0.2828	2959.8300	0.1685	428358.5100	24.3925	67115.7900	3.8218	75774.4200	4.3149	126216.7200	7.1873	14434.7400	0.8220	372316.0500	21.2012	265965.2100	15.1451	153150.3900	8.7210	13921.9200	0.7928	0.0000	0.0000	92049.1200	5.2416	87601.5900	4.9884	39237.3000	2.2343	13921.1100	0.7927	5162.1300	0.2940	2983.4100	0.1699	427621.7700	24.3505	66935.0700	3.8116	75555.9900	4.3025	125328.2400	7.1367	14367.5100	0.8181	371664.0000	21.1640	265561.7400	15.1222	153105.6600	8.7185	15016.5000	0.8551	0.0000	0.0000	91979.1900	5.2377	89187.7500	5.0787	39513.9600	2.2501	16274.0700	0.9267	5958.9900	0.3393	3397.5000	0.1935	441250.2900	25.1266	75497.5800	4.2991	70399.7100	4.0088	111835.6200	6.3684	13403.5200	0.7633	369134.5500	21.0200	266552.2800	15.1786	142013.1600	8.0868	19712.9700	1.1225	42128663.7560	23.9897	0.0000	78.0107	3.3448	4.1475	0.0000	38.4089	0.4618	0.5887
HU4_18	0	100	52.0291	40.5482	578	0.0000	0.0081	0.0000	0.0000	82335.3300	1.1560	93762.6300	1.3165	18265.7700	0.2565	56293.6500	0.7904	0.0000	0.0000	43295.4900	0.6079	13749.6600	0.1931	3479589.1800	48.8547	359367.7500	5.0457	872867.7900	12.2554	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1658801.6100	23.2902	397627.6500	5.5828	0.0000	0.0000	13332.8700	0.1872	23234.7600	0.3262	9798.3900	0.1376	0.0000	0.0000	81467.1900	1.1438	366294.4200	5.1429	136527.6600	1.9169	49011.1200	0.6881	17018.9100	0.2390	20937.4200	0.2940	3305493.0900	46.4103	335450.5200	4.7098	726437.3400	10.1994	126440.1900	1.7753	32621.3100	0.4580	1099172.7000	15.4328	740058.9300	10.3907	68345.0100	0.9596	17046.7200	0.2393	0.0000	0.0000	81897.5700	1.1499	369254.5200	5.1845	139339.9800	1.9564	50990.6700	0.7159	17681.5800	0.2483	22074.3900	0.3099	3301499.1600	46.3543	333685.9800	4.6851	725410.3500	10.1850	125839.2600	1.7668	31956.7500	0.4487	1099279.0800	15.4343	738181.8900	10.3643	67967.2800	0.9543	17264.0700	0.2424	0.0000	0.0000	81801.6300	1.1485	374312.9700	5.2555	137167.3800	1.9259	58528.5300	0.8218	20370.4200	0.2860	24481.4400	0.3437	3278205.1800	46.0272	332912.6100	4.6742	706017.6000	9.9127	129345.0300	1.8161	38558.7900	0.5414	1077016.2300	15.1217	739753.3800	10.3864	96138.5400	1.3498	27712.8000	0.3891	203099718.0530	28.5160	0.0000	85.0266	8.3877	7.1488	0.0000	257.5258	1.1763	1.0398
HU4_2	0	100	67.3382	30.6938	111	0.0003	0.0050	0.0000	0.0000	137419.9200	6.1587	7427.3400	0.3329	1259.1900	0.0564	8013.2400	0.3591	1648.5300	0.0739	308.9700	0.0138	53753.7600	2.4091	469813.5000	21.0555	626048.4600	28.0574	754396.2900	33.8095	6409.3500	0.2872	93.9600	0.0042	0.0000	0.0000	8212.6800	0.3681	38166.5700	1.7105	0.0000	0.0000	4880.9700	0.2187	96051.5100	4.3047	17410.5000	0.7803	9.4500	0.0004	112606.0200	5.0466	29712.3300	1.3316	12920.1300	0.5790	4782.4200	0.2143	1790.2800	0.0802	11273.5800	0.5052	367148.7000	16.4544	508746.6000	22.8003	721117.5300	32.3181	163759.5900	7.3392	13702.3200	0.6141	18915.2100	0.8477	21432.5100	0.9605	211427.7300	9.4755	31970.3400	1.4328	9.4500	0.0004	115481.0700	5.1755	29788.6500	1.3350	13015.8900	0.5833	4844.1600	0.2171	1811.0700	0.0812	9567.2700	0.4288	363289.7700	16.2814	498858.3900	22.3571	709627.5900	31.8031	171899.1000	7.7039	30372.4800	1.3612	18751.0500	0.8404	21288.3300	0.9541	211480.7400	9.4779	31229.7300	1.3996	9.4500	0.0004	114491.7900	5.1311	29462.0400	1.3204	13262.8500	0.5944	5272.1100	0.2363	1917.2700	0.0859	11749.0500	0.5266	351955.8000	15.7735	488047.3200	21.8726	679692.6000	30.4615	165550.9500	7.4194	17304.8400	0.7755	18690.0300	0.8376	21403.7100	0.9592	282208.9500	12.6477	30295.9800	1.3578	20473233.3644	9.1754	0.0000	85.2060	3.7109	4.2789	0.0000	115.4964	0.5102	0.6100
HU4_20	0	100	45.7012	38.2788	135	0.0000	0.0090	0.0000	0.0000	10238.4900	0.6822	18047.3400	1.2025	1337.9400	0.0891	9168.2100	0.6109	0.0000	0.0000	7449.9300	0.4964	7255.0800	0.4834	766445.3100	51.0698	38093.3100	2.5382	119519.3700	7.9638	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	454845.6000	30.3073	59531.7600	3.9667	0.0000	0.0000	785.5200	0.0523	5553.9900	0.3701	2507.5800	0.1671	0.0000	0.0000	10786.5000	0.7187	86216.0400	5.7448	36785.3400	2.4511	8767.8900	0.5842	2687.7600	0.1791	4837.6800	0.3223	826081.0200	55.0435	39194.1900	2.6116	30503.0700	2.0325	3311.4600	0.2206	996.2100	0.0664	291680.9100	19.4353	152594.2800	10.1677	5454.7200	0.3635	882.3600	0.0588	0.0000	0.0000	10637.4600	0.7088	87635.6100	5.8393	38641.4100	2.5748	9858.7800	0.6569	2932.8300	0.1954	5893.9200	0.3927	823088.6100	54.8441	38487.4200	2.5645	30545.3700	2.0353	3308.3100	0.2204	2295.2700	0.1529	289821.4200	19.3114	151215.2100	10.0758	5405.7600	0.3602	1012.0500	0.0674	0.0000	0.0000	10664.2800	0.7106	91761.0300	6.1142	38927.3400	2.5938	12399.0300	0.8262	3888.9900	0.2591	6734.2500	0.4487	816846.8400	54.4282	37584.0000	2.5043	30207.6000	2.0128	5124.6900	0.3415	4177.9800	0.2784	285226.4700	19.0052	149250.5100	9.9449	6583.2300	0.4387	1403.1900	0.0935	48765692.4715	32.4936	0.0000	80.9762	8.8988	7.3607	0.0000	139.6044	1.2599	1.0700
HU4_21	0	100	52.9244	37.5586	100	0.0001	0.0119	0.0000	0.0000	6944.1300	0.8289	32397.9300	3.8673	1492.9200	0.1782	8564.3100	1.0223	0.0000	0.0000	8802.7200	1.0508	2090.7000	0.2496	467230.9500	55.7720	14792.4900	1.7657	60279.1200	7.1953	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	204719.6700	24.4368	25374.5100	3.0289	0.0000	0.0000	1620.3600	0.1934	2395.6200	0.2860	1045.7100	0.1248	0.0000	0.0000	9682.8300	1.1558	64089.2700	7.6502	32834.3400	3.9193	16835.8500	2.0096	5566.5000	0.6645	4957.3800	0.5917	509256.8100	60.7886	11905.6500	1.4211	3477.5100	0.4151	28.9800	0.0035	2608.2000	0.3113	144906.6600	17.2971	30256.2900	3.6116	799.2000	0.0954	545.6700	0.0651	0.0000	0.0000	9677.7000	1.1552	65296.4400	7.7943	33895.5300	4.0460	17288.9100	2.0637	5664.2400	0.6761	5923.1700	0.7070	506936.6100	60.5116	11851.6500	1.4147	3443.3100	0.4110	76.2300	0.0091	2626.3800	0.3135	144201.7800	17.2130	29551.3200	3.5275	783.5400	0.0935	534.3300	0.0638	0.0000	0.0000	9582.2100	1.1438	65246.2200	7.7883	34021.7100	4.0611	19148.8500	2.2857	6308.0100	0.7530	6386.9400	0.7624	502498.9800	59.9819	11721.9600	1.3992	3417.3900	0.4079	474.5700	0.0566	4573.2600	0.5459	143184.6900	17.0916	29804.3100	3.5577	808.6500	0.0965	573.3900	0.0684	33108860.1491	39.5211	0.0000	86.0993	9.6231	6.6773	0.0000	234.1966	1.3549	0.9787
HU4_22	0	100	58.9250	38.2883	192	0.0001	0.0063	0.0000	0.0000	25235.8200	0.8309	45398.9700	1.4948	2667.7800	0.0878	13483.3500	0.4440	0.0000	0.0000	24079.1400	0.7928	6204.3300	0.2043	1750232.2500	57.6290	139028.3100	4.5777	364712.1300	12.0087	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	528480.8100	17.4010	102358.9800	3.3703	0.0000	0.0000	5878.8000	0.1936	26159.6700	0.8613	3149.6400	0.1037	0.0000	0.0000	34238.6100	1.1274	152519.7600	5.0219	46634.6700	1.5355	16052.5800	0.5286	4668.3000	0.1537	11281.4100	0.3715	1733712.3900	57.0850	130569.9300	4.2992	197117.9100	6.4904	79004.3400	2.6013	33464.8800	1.1019	360675.7200	11.8758	188104.3200	6.1936	43442.1900	1.4304	5582.9700	0.1838	0.0000	0.0000	34134.5700	1.1239	153387.9000	5.0505	47390.2200	1.5604	16605.2700	0.5468	4808.3400	0.1583	12666.2400	0.4171	1730321.0100	56.9734	129347.3700	4.2590	195554.0700	6.4389	78759.0900	2.5933	35894.3400	1.1819	361258.0200	11.8950	187572.6900	6.1761	43580.7900	1.4350	5790.0600	0.1906	0.0000	0.0000	34030.7100	1.1205	153661.4100	5.0595	48157.5600	1.5857	19539.2700	0.6434	5669.0100	0.1867	13425.5700	0.4421	1724498.7300	56.7817	127297.7100	4.1915	184949.9100	6.0897	73786.5900	2.4295	38373.3000	1.2635	357164.1000	11.7602	186973.5600	6.1564	60762.7800	2.0007	8779.7700	0.2891	84305611.8915	27.7587	0.0000	82.8853	7.3895	6.2633	0.0000	172.3010	1.0372	0.8965
HU4_23	0	100	36.7677	41.3674	63	0.0001	0.0069	0.0000	0.0000	7002.0900	0.7684	17261.2800	1.8943	3450.9600	0.3787	5708.7000	0.6265	0.0000	0.0000	1095.3000	0.1202	21.8700	0.0024	248777.5500	27.3021	5637.6000	0.6187	111716.3700	12.2603	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	358346.2500	39.3268	137589.8400	15.0998	0.0000	0.0000	9068.3100	0.9952	4311.8100	0.4732	1213.9200	0.1332	0.0000	0.0000	7532.9100	0.8267	44745.4800	4.9106	18781.3800	2.0612	5984.9100	0.6568	2305.1700	0.2530	1596.5100	0.1752	237310.2000	26.0436	24438.7800	2.6820	45450.7200	4.9880	29361.9600	3.2223	2929.4100	0.3215	234394.5600	25.7237	208420.7400	22.8732	42932.5200	4.7116	5016.6000	0.5505	0.0000	0.0000	7444.5300	0.8170	44882.0100	4.9256	18947.7900	2.0794	6097.6800	0.6692	2372.1300	0.2603	1610.7300	0.1768	237126.2400	26.0235	24193.9800	2.6552	45295.2000	4.9709	29302.6500	3.2158	3021.3000	0.3316	234400.5000	25.7243	208583.0100	22.8910	42693.5700	4.6854	5230.5300	0.5740	0.0000	0.0000	7628.3100	0.8372	45455.2200	4.9885	19453.3200	2.1349	7357.1400	0.8074	2662.8300	0.2922	1902.5100	0.2088	224870.5800	24.6785	25219.7100	2.7677	40101.7500	4.4010	25259.4000	2.7721	2872.9800	0.3153	229319.7300	25.1667	206739.3600	22.6886	61251.7500	6.7221	11107.2600	1.2190	21896811.8717	24.0306	0.0000	74.7357	3.6800	4.5382	0.0000	29.5017	0.5077	0.6430
HU4_24	0	100	71.6894	26.8228	48	0.0088	0.0026	0.0000	0.0000	59600.9700	3.1964	1450.3500	0.0778	2525.0400	0.1354	4938.3000	0.2648	680.2200	0.0365	2722.2300	0.1460	9601.1100	0.5149	758917.7100	40.7012	295719.2100	15.8596	258992.3700	13.8899	0.0000	0.0000	0.0000	0.0000	11630.4300	0.6237	31468.5000	1.6877	39547.8000	2.1210	0.0000	0.0000	1043.2800	0.0560	322668.5400	17.3049	63101.9700	3.3842	0.0000	0.0000	47003.5800	2.5208	41534.7300	2.2275	11160.8100	0.5986	2809.0800	0.1507	985.8600	0.0529	4425.2100	0.2373	816302.1600	43.7788	194243.2200	10.4174	229381.1100	12.3018	8362.3500	0.4485	37771.0200	2.0257	21500.7300	1.1531	14763.6000	0.7918	393567.6600	21.1073	40796.9100	2.1880	0.0000	0.0000	46813.8600	2.5107	41821.8300	2.2429	11247.8400	0.6032	2853.8100	0.1531	994.0500	0.0533	4870.9800	0.2612	809409.0600	43.4091	189905.0400	10.1847	226443.8700	12.1443	13838.0400	0.7421	45897.1200	2.4615	21188.4300	1.1363	14944.4100	0.8015	392552.6400	21.0528	41827.0500	2.2432	0.0000	0.0000	47002.9500	2.5208	41954.4000	2.2500	10630.6200	0.5701	3544.7400	0.1901	1284.2100	0.0689	4513.2300	0.2420	795581.4600	42.6675	185902.2900	9.9700	222737.6700	11.9455	41409.2700	2.2208	36398.9700	1.9521	23279.5800	1.2485	16496.7300	0.8847	390742.8300	20.9558	43129.0800	2.3130	22937374.8901	12.3015	0.0000	67.4148	2.9192	3.9602	0.0000	17.5936	0.4056	0.5595
